entry,offset,encoding,score,string,neighbors_before,neighbors_after
paperweb/bin/Mvccom.dll,71714,ascii,5,SaveAs,ToLower | Alert | DirectoryInfo | CreateDirectory,Alertrefer | Dictionary`2 | FileAccess | File
paperweb/bin/FeiShareLibrary.dll,114099,ascii,4,fileName,Decrypt_public | isutf8 | SaveKeyFile | keys,arrint | LoadKeyFromFile | Main | GenKey_SaveInContainer
paperweb/bin/FeiShareLibrary.dll,117212,ascii,4,filename,ismulpage | pages | Bitmap32To24Small | bitmap32,width24 | height24 | Bitmap32To24SmallUnscaled | Bitmap32To24
paperweb/bin/FeiShareLibrary.dll,134934,utf16le,4,OriginalFilename,FeiShareLibrary.dll | LegalCopyright | Copyright  |   2009,FeiShareLibrary.dll | ProductName | FeiShareLibrary | ProductVersion
paperweb/bin/FeiShareLibrary.pdb,93316,ascii,4,filename,CS$0$0000 | CS$0$0001 | CS$0$0002 | time,mySw | write_content | .cctor | get_IsLocal
paperweb/bin/FeiShareLibrary.pdb,103705,ascii,4,GetFileName,USystem.IO | USystem.Web | USystem.Drawing | USystem.Drawing.Imaging,GetExtension | GetImageFormat | CS$0$0000 | CS$0$0001
paperweb/bin/FeiShareLibrary.pdb,175918,ascii,4,GetFileName,LoadKeyFromFile | 06000009 | .ctor | 060000cb,060000cc | GetExtension | 060000cd | GetImageFormat
paperweb/bin/Interop.Acrobat.dll,23752,ascii,4,GetFileName,lEndPage | MovePage | lMoveAfterThisPage | lPageToMove,GetPageMode | SetPageMode | nPageMode | CreateThumbs
paperweb/bin/Interop.Acrobat.dll,29290,utf16le,4,OriginalFilename,InternalName | Interop.Acrobat | LegalCopyright | LegalTrademarks,Interop.Acrobat.dll | ProductName | Acrobat | ProductVersion
paperweb/bin/MvcViewEngine.dll,9786,utf16le,4,OriginalFilename,MvcViewEngine.dll | LegalCopyright | Copyright  |   2010,MvcViewEngine.dll | ProductName | MvcViewEngine | ProductVersion
paperweb/bin/Mvcb2b.dll,328807,ascii,4,pcfilename,pagenum | bigpageid | pdf2jpg | path2,mobilefilename | pdfname | isjpg | pcdir
paperweb/bin/Mvcb2b.dll,336564,ascii,4,get_FileName,HttpFileCollection | get_Files | HttpPostedFile | UpfileHtml5,Path | GetExtension | NameObjectCollectionBase | get_Lastqiid
paperweb/bin/Mvcb2b.dll,381128,utf16le,4,img/wav/,"select b.title,b.[content] from e_news a left join  mvc_info b on a.infoid=b.id and b.isshow=1  where a.id=@id | /wav/ | /content/ | no right: 1","<span class=""showplayer"" id=""showplayer1""> |                            <embed id=""speakaudio"" name=""speakaudio"" type=""application/x-oleobject"" classid=""CLSID:22d6f312-b0f6-11d0-94ab-0080c74c7e95"" src="" | "" >                             |                            </embed></span>"
paperweb/bin/Mvcb2b.dll,410224,utf16le,4,"editors/tiny_mce3.4/themes/advanced/img/trans.gif""([^<>]*?) />((?!</p>).)*</p>","@newstitle | @issuedate | select id,[content] from  mvc_info  | <p([^<>]*?)>([^/]*?)<img ([^<>]*?)src=""","!<br> | ,g!k | update [mvc_info]  set  [content]=@content where id=@id  | @content"
paperweb/bin/Mvcb2b.dll,471103,utf16le,4,img/manage.asp,search.action | /reg.action | /init.action | inc/data.asp,/uploadfile/index.asp | /css.asp | /mdb.asp | /hack.asp
paperweb/bin/Mvcb2b.dll,494178,utf16le,4,OriginalFilename,Mvcb2b.dll | LegalCopyright | Copyright  |  53bk 2008-2016,Mvcb2b.dll | ProductName | Mvcb2b | ProductVersion
paperweb/bin/Mvcb2b.pdb,272996,ascii,4,filename,textfile | imageroot | files | tempfilepath,picurl | newwuli | firsturl | pdfpic
paperweb/bin/Mvcb2b.pdb,343536,ascii,4,filename,widtho | heighto | dname | path2,path1 | dname | path2 | filename
paperweb/bin/Mvcb2b.pdb,343772,ascii,4,filename,filename | path1 | dname | path2,dire | guid | fileExtension | path1
paperweb/bin/Mvcb2b.pdb,478820,ascii,4,filename,files | tempfilepath | widtho | heighto,picurl | newwuli | firsturl | pdfpic
paperweb/bin/Mvcb2b.pdb,550384,ascii,4,filename,widtho | heighto | dname | path2,dire | guid | fileExtension | path1
paperweb/bin/Mvcb2b.pdb,550620,ascii,4,filename,fileExtension | path1 | dname | path2,dire | guid | fileExtension | path1
paperweb/bin/Mvcb2b.pdb,608120,ascii,4,filename,path2 | dire | guid | path1,pwidth | pheight | mwidth | ismobile
paperweb/bin/Mvcb2b.pdb,704136,ascii,4,filename,isdate | wulipath | wulifile | myrd,databasename | Webd | get_Master | Page_Load
paperweb/bin/Mvcb2b.pdb,912656,ascii,4,filename,widtho | heighto | ispcdel | ismobiledel,path3 | widthdui | filename | path3
paperweb/bin/Mvcb2b.pdb,912776,ascii,4,filename,ismobiledel | filename | path3 | widthdui,path3 | widthtemp | filename2 | path4
paperweb/bin/Mvcb2b.pdb,912920,ascii,4,filename2,widthdui | filename | path3 | widthtemp,path4 | PdftoJpg | CS$0$0000 | CS$0$0001
