parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,kind,media_original,archived_media_url,archived_media_digest
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/51d61f1c-4f6c-40ad-b424-98a40c829977.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/6a101c50-06e4-4a4c-a3b6-c476e5764c7e.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/6fde1f6d-58cc-454e-b3ff-2a7ec0524cba.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/d62d3901-8ae9-4b9d-9381-a97646db10b4.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2012-12/ef9995ed-2e65-4908-9b98-d081cf6035b4.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2013-01/30e48508-a597-4e1d-83ea-7b673db409a6.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2013-01/8d88bdb9-a6ed-40d9-87f3-350203ae45c1.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2013-01/c16f501f-941f-4c5a-b9f4-b30585f2baac.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_upload/newsImg/2013-01/ca19d762-3cf6-470a-92ba-2d446d92eed2.jpg,,
http://www.qlsn.com/sys_webs/index.aspx,https://web.archive.org/web/20130204094043id_/http://www.qlsn.com/sys_webs/index.aspx,,,img,http://www.qlsn.com/sys_webs/images/ccpic.jpg,,
